classifier,Score,C-value,Execution Time
Linear SVM,0.125809175,0.13,0.210936666
Linear SVM,0.129819823,0.14,0.216216087
Linear SVM,0.142890999,0.15,0.212498975
Linear SVM,0.147742627,0.16,0.217624307
Linear SVM,0.150370542,0.17,0.209514952
Linear SVM,0.154200135,0.18,0.209849834
Linear SVM,0.158536042,0.19,0.209373474
Linear SVM,0.168667655,0.2,0.210936427
Linear SVM,0.186417229,0.21,0.212499452
Linear SVM,0.192082268,0.22,0.218832803
Linear SVM,0.196791924,0.23,0.210931063
Linear SVM,0.197481493,0.24,0.214066243
Linear SVM,0.203949307,0.25,0.212498999
Linear SVM,0.206116987,0.26,0.210933733
Linear SVM,0.209607179,0.27,0.214061689
Linear SVM,0.210936432,0.28,0.209373522
Linear SVM,0.209598998,0.29,0.220407677
Linear SVM,0.213007884,0.3,0.21562531
Linear SVM,0.217697859,0.31,0.21093626
Linear SVM,0.222316624,0.32,0.209548569
Linear SVM,0.225799663,0.33,0.217188025
Linear SVM,0.222498172,0.34,0.214060688
Linear SVM,0.227942855,0.35,0.210937977
Linear SVM,0.229126268,0.36,0.217259717
Linear SVM,0.228875806,0.37,0.220311451
Linear SVM,0.23273193,0.38,0.22031312
Linear SVM,0.233956769,0.39,0.222900176
Linear SVM,0.237685436,0.4,0.218545413
Linear SVM,0.241423538,0.41,0.216404462
Linear SVM,0.243768167,0.42,0.223436666
Linear SVM,0.245147194,0.43,0.207812357
Linear SVM,0.241699346,0.44,0.216858578
Linear SVM,0.241699346,0.45,0.223857808
Linear SVM,0.244308123,0.46,0.22771523
Linear SVM,0.243496039,0.47,0.209133267
Linear SVM,0.245294058,0.48,0.214061618
Linear SVM,0.245032104,0.49,0.228124356
Linear SVM,0.245032104,0.5,0.209632874
Linear SVM,0.245995423,0.51,0.212499118
Linear SVM,0.245763348,0.52,0.213411736
Linear SVM,0.246601384,0.53,0.21598525
Linear SVM,0.246309945,0.54,0.221446824
Linear SVM,0.247904781,0.55,0.220312023
Linear SVM,0.25148779,0.56,0.207811856
