Classifier,Score,Num Feats,Execution Time
Multinomial NB,0.76140753,13900,1.951741028
Multinomial NB,0.761385635,14000,1.838810778
Multinomial NB,0.761443846,14100,1.850437284
Multinomial NB,0.761488945,14200,1.829719782
Multinomial NB,0.761435624,14300,1.977036977
Multinomial NB,0.761629441,14400,1.963744473
Multinomial NB,0.761727882,14500,2.017340302
Multinomial NB,0.761621554,14600,2.007620907
Multinomial NB,0.76175364,14700,2.014404202
Multinomial NB,0.761704181,14800,2.018077397
Multinomial NB,0.761683708,14900,2.017682981
Multinomial NB,0.761467424,15000,2.029269528
Multinomial NB,0.761418239,15100,1.822341871
Multinomial NB,0.761279549,15200,1.687547565
Multinomial NB,0.761205608,15300,1.793131495
Multinomial NB,0.76123886,15400,1.860543942
Multinomial NB,0.761293105,15500,1.846107411
Multinomial NB,0.761197012,15600,1.955455709
Multinomial NB,0.761188897,15700,1.907988691
Multinomial NB,0.760905903,15800,1.898086762
Multinomial NB,0.761114404,15900,1.984492135
Multinomial NB,0.761113611,16000,1.954485893
Multinomial NB,0.760974475,16100,1.990058994
Multinomial NB,0.760739369,16200,1.970442533
Multinomial NB,0.760685824,16300,1.975723672
Multinomial NB,0.760611244,16400,1.995507836
Multinomial NB,0.76065607,16500,1.944559455
Multinomial NB,0.760712495,16600,1.916350317
Multinomial NB,0.760691437,16700,1.927902555
Multinomial NB,0.760878261,16800,1.945968103
Multinomial NB,0.7607375,16900,2.01371944
Multinomial NB,0.760466515,17000,1.97795434
Multinomial NB,0.760412145,17100,2.046902084
Multinomial NB,0.76046805,17200,2.091171169
Multinomial NB,0.76046834,17300,2.092256784
Multinomial NB,0.760413926,17400,2.069755054
Multinomial NB,0.760231133,17500,2.129263496
Multinomial NB,0.760230839,17600,2.088275194
Multinomial NB,0.760255831,17700,2.119287992
Multinomial NB,0.760234667,17800,2.075285816
Multinomial NB,0.760164157,17900,2.11469748
Multinomial NB,0.760142982,18000,2.10289731
Multinomial NB,0.759937903,18100,2.090726089
Multinomial NB,0.759937903,18200,2.113759661
Multinomial NB,0.759829139,18300,2.117041016
Multinomial NB,0.759686745,18400,2.154881763
Multinomial NB,0.759589937,18500,2.148902965
Multinomial NB,0.759610351,18600,2.14343226
Multinomial NB,0.759624092,18700,2.182447791
Multinomial NB,0.759560866,18800,2.168739295
Multinomial NB,0.759452289,18900,2.177120423
Multinomial NB,0.759321538,19000,2.191638899
Multinomial NB,0.759007377,19100,2.236372662
Multinomial NB,0.758998072,19200,2.230809283
Multinomial NB,0.759022283,19300,2.303795147
Multinomial NB,0.758741428,19400,2.309687734
Multinomial NB,0.758894501,19500,2.314186502
Multinomial NB,0.758893593,19600,2.322176909
Multinomial NB,0.758753543,19700,2.327378464
Multinomial NB,0.758548853,19800,2.345272851
Multinomial NB,0.758519078,19900,2.333785009
Multinomial NB,0.758476608,20000,2.359889841
