Classifier,Score,C-value,Execution Time
Liblinear SVM,0.7226193628099903,1,6.030275344848633
Liblinear SVM,0.7221971271117534,2,4.010865688323975
Liblinear SVM,0.7178265855164505,3,4.690910816192627
Liblinear SVM,0.7134217889701235,4,3.9910807609558105
Liblinear SVM,0.7117450255326643,5,3.450911521911621
Liblinear SVM,0.7109149855907781,6,4.16759467124939
Liblinear SVM,0.708784914970482,7,3.7573282718658447
Liblinear SVM,0.7074290859972985,8,3.8889071941375732
Liblinear SVM,0.7066396261352615,9,3.4579105377197266
Liblinear SVM,0.7045066114959071,10,4.032312631607056
