Classifier,Score,C-value,Execution Time
RBF SVM,0.04502164150682601,14,29.196141624450682
RBF SVM,0.04648301066353609,15,28.912464427948
RBF SVM,0.049732891605518886,16,29.160098910331726
RBF SVM,0.05506185720763921,17,31.350414752960205
RBF SVM,0.07101760727813619,18,32.18472836017609
RBF SVM,0.09224517725344553,19,33.228224992752075
RBF SVM,0.12556666436859432,20,26.53991255760193
RBF SVM,0.17856320623739394,25,30.090966129302977
RBF SVM,0.18794475316920878,30,28.895217537879944
RBF SVM,0.21371977667548991,40,23.201419496536253
RBF SVM,0.2621431419408969,50,22.767565965652466
RBF SVM,0.3074760933987495,60,23.05645191669464
RBF SVM,0.3336296754628717,70,22.5387286901474
RBF SVM,0.35377351225132303,80,21.823488187789916
RBF SVM,0.3695853963307134,90,21.434397315979005
RBF SVM,0.3843415354376264,100,21.251401400566102
RBF SVM,0.45872328782116173,150,22.387889909744263
RBF SVM,0.519917164860735,200,22.495959210395814
RBF SVM,0.5612495069780796,250,22.13030982017517
RBF SVM,0.5938316318182386,300,21.738160943984987
RBF SVM,0.6226080861681789,350,21.64643850326538
RBF SVM,0.6426378391335834,400,21.038996815681458
RBF SVM,0.6556536757038581,450,20.80001814365387
RBF SVM,0.6685504695291571,500,20.516093802452087
RBF SVM,0.6794192365578333,550,21.543617177009583
RBF SVM,0.6878979505607943,600,21.297440266609193
RBF SVM,0.6950810571508663,650,20.50647747516632
RBF SVM,0.7004995098685235,700,20.871780705451965
RBF SVM,0.7035677277071435,750,20.44945635795593
RBF SVM,0.7081323134026483,800,20.578062319755553
RBF SVM,0.7104689525006919,850,20.79921555519104
RBF SVM,0.7124063796434482,900,20.535644721984863
RBF SVM,0.7156099896412105,950,20.653787779808045
RBF SVM,0.7174980969006669,1000,20.712203764915465
RBF SVM,0.7190426183600245,1050,20.956043910980224
RBF SVM,0.7211016791497191,1100,20.603166794776918
RBF SVM,0.7227864336444396,1150,21.352348685264587
RBF SVM,0.7241601450607232,1200,20.94039657115936
RBF SVM,0.725684449839123,1250,21.326843118667604
RBF SVM,0.73582362480252,5000,41.78072547912598
