Classifier,Score,Alpha,Execution Time
Bernoulli NB,0.764855596,0.16,0.02249949
Bernoulli NB,0.765271141,0.17,0.01259973
Bernoulli NB,0.765263884,0.18,0.016899633
Bernoulli NB,0.765609199,0.19,0.015399957
Bernoulli NB,0.765731691,0.2,0.01779983
Bernoulli NB,0.766055259,0.21,0.020599627
Bernoulli NB,0.766357144,0.22,0.014899635
Bernoulli NB,0.766109528,0.23,0.015599346
Bernoulli NB,0.766422857,0.24,0.012299871
Bernoulli NB,0.766516104,0.25,0.012699795
Bernoulli NB,0.766293472,0.26,0.009899712
Bernoulli NB,0.766450795,0.27,0.012199783
Bernoulli NB,0.766362796,0.28,0.012399721
Bernoulli NB,0.766760578,0.29,0.019299579
Bernoulli NB,0.766645829,0.3,0.016899633
Bernoulli NB,0.766965002,0.31,0.015399456
Bernoulli NB,0.767191942,0.32,0.012599897
Bernoulli NB,0.767070742,0.33,0.0116997
Bernoulli NB,0.767428269,0.34,0.014899516
Bernoulli NB,0.767418422,0.35,0.030599475
Bernoulli NB,0.767490703,0.36,0.021399474
Bernoulli NB,0.767608116,0.37,0.015999484
Bernoulli NB,0.767406838,0.38,0.022499585
Bernoulli NB,0.767285014,0.39,0.013099861
Bernoulli NB,0.76691317,0.4,0.017899561
Bernoulli NB,0.766778149,0.41,0.009799957
Bernoulli NB,0.767022289,0.42,0.015999818
Bernoulli NB,0.766964447,0.43,0.017999768
Bernoulli NB,0.766998181,0.44,0.012099767
Bernoulli NB,0.766878174,0.45,0.014499712
Bernoulli NB,0.766754425,0.46,0.016099715
Bernoulli NB,0.76696808,0.47,0.012099528
Bernoulli NB,0.767088423,0.48,0.016299343
Bernoulli NB,0.766696513,0.49,0.014899564
Bernoulli NB,0.766747095,0.5,0.020499229
Bernoulli NB,0.766941949,0.51,0.016499496
Bernoulli NB,0.7669307,0.52,0.018799329
Bernoulli NB,0.767155804,0.53,0.018899536
Bernoulli NB,0.766844108,0.54,0.01149981
Bernoulli NB,0.766451964,0.55,0.024199462
Bernoulli NB,0.765722237,0.56,0.039402461
Bernoulli NB,0.766002438,0.57,0.023699427
Bernoulli NB,0.76568836,0.58,0.029999304
