Classifier,Score,Fold,Execution Time
Bernoulli NB,0.789426523,1,77.66490602
Bernoulli NB,0.790739092,2,114.0742509
Bernoulli NB,0.769091731,3,71.22597003
Bernoulli NB,0.773729195,4,103.4501791
Bernoulli NB,0.777472527,5,38.95529175
Bernoulli NB,0.788154897,6,100.8439548
Bernoulli NB,0.75994513,7,32.52099061
Bernoulli NB,0.784172662,8,101.4790931
Bernoulli NB,0.762430939,9,78.16859531
Bernoulli NB,0.762420958,10,94.12085462
