Classifier,Score,Alpha,Execution Time
Bernoulli NB,0.0,0.1,0.012706112861633301
Bernoulli NB,0.0,0.11,0.012423133850097657
Bernoulli NB,0.0,0.12,0.009822463989257813
Bernoulli NB,0.0,0.13,0.01001896858215332
Bernoulli NB,0.0,0.14,0.009758925437927246
Bernoulli NB,0.0,0.15,0.008231115341186524
Bernoulli NB,0.0,0.16,0.01016240119934082
Bernoulli NB,0.0,0.17,0.009946632385253906
Bernoulli NB,0.0,0.18,0.009357118606567382
Bernoulli NB,0.0,0.19,0.009152078628540039
Bernoulli NB,0.0,0.2,0.010232234001159668
Bernoulli NB,0.0,0.21,0.008959746360778809
Bernoulli NB,0.0,0.22,0.00875852108001709
Bernoulli NB,0.0,0.23,0.010270261764526367
Bernoulli NB,0.0,0.24,0.009040284156799316
Bernoulli NB,0.0,0.25,0.007037663459777832
Bernoulli NB,0.0,0.26,0.008363771438598632
Bernoulli NB,0.0,0.27,0.007792830467224121
Bernoulli NB,0.0,0.28,0.009065389633178711
Bernoulli NB,0.0,0.29,0.009950733184814453
Bernoulli NB,0.0,0.3,0.009064745903015137
Bernoulli NB,0.0,0.31,0.008372783660888672
Bernoulli NB,0.0,0.32,0.007828664779663087
Bernoulli NB,0.0,0.33,0.009673547744750977
Bernoulli NB,0.0,0.34,0.009261584281921387
Bernoulli NB,0.0,0.35,0.008389163017272949
Bernoulli NB,0.0,0.36,0.007963895797729492
Bernoulli NB,0.0,0.37,0.008996701240539551
Bernoulli NB,0.0,0.38,0.009754061698913574
Bernoulli NB,0.0,0.39,0.009738826751708984
Bernoulli NB,0.0,0.4,0.006954598426818848
Bernoulli NB,0.0,0.41,0.00859992504119873
Bernoulli NB,0.0,0.42,0.00802316665649414
Bernoulli NB,0.0,0.43,0.009012770652770997
Bernoulli NB,0.0,0.44,0.006152200698852539
Bernoulli NB,0.0,0.45,0.007386970520019531
Bernoulli NB,0.0,0.46,0.008037972450256347
Bernoulli NB,0.0,0.47,0.00903491973876953
Bernoulli NB,0.0,0.48,0.00773324966430664
Bernoulli NB,0.0,0.49,0.009026026725769043
Bernoulli NB,0.0,0.5,0.008096432685852051
Bernoulli NB,0.0,0.51,0.008605480194091797
Bernoulli NB,0.0,0.52,0.008048033714294434
Bernoulli NB,0.0,0.53,0.00779876708984375
Bernoulli NB,0.0,0.54,0.00852823257446289
Bernoulli NB,0.0,0.55,0.006563162803649903
Bernoulli NB,0.0,0.56,0.00810706615447998
Bernoulli NB,0.0,0.57,0.008078718185424804
Bernoulli NB,0.0,0.58,0.009071683883666993
Bernoulli NB,0.0,0.59,0.009182548522949219
Bernoulli NB,0.0,0.6,0.007485747337341309
Bernoulli NB,0.0,0.61,0.008297133445739745
Bernoulli NB,0.0,0.62,0.007858800888061523
Bernoulli NB,0.0,0.63,0.00899677276611328
Bernoulli NB,0.0,0.64,0.007959842681884766
Bernoulli NB,0.0,0.65,0.008530473709106446
Bernoulli NB,0.0,0.66,0.007604122161865234
Bernoulli NB,0.0,0.67,0.008281373977661132
Bernoulli NB,0.0,0.68,0.008926892280578613
Bernoulli NB,0.0,0.69,0.008770394325256347
Bernoulli NB,0.0,0.7,0.00865018367767334
Bernoulli NB,0.0,0.71,0.007678079605102539
Bernoulli NB,0.0,0.72,0.008379983901977538
Bernoulli NB,0.0,0.73,0.009102439880371094
Bernoulli NB,0.0,0.74,0.0069244146347045895
Bernoulli NB,0.0,0.75,0.00884871482849121
Bernoulli NB,0.0,0.76,0.009793949127197266
Bernoulli NB,0.0,0.77,0.007557201385498047
Bernoulli NB,0.0,0.78,0.009835767745971679
Bernoulli NB,0.0,0.79,0.008741283416748047
Bernoulli NB,0.0,0.8,0.010804438591003418
Bernoulli NB,0.0,0.81,0.008569788932800294
Bernoulli NB,0.0,0.82,0.01115105152130127
Bernoulli NB,0.0,0.83,0.008568549156188964
Bernoulli NB,0.0,0.84,0.009719061851501464
Bernoulli NB,0.0,0.85,0.009815669059753418
Bernoulli NB,0.0,0.86,0.008866405487060547
Bernoulli NB,0.0,0.87,0.008493947982788085
Bernoulli NB,0.0,0.88,0.007790470123291015
Bernoulli NB,0.0,0.89,0.009158015251159668
Bernoulli NB,0.0,0.9,0.008643484115600586
Bernoulli NB,0.0,0.91,0.008318948745727538
Bernoulli NB,0.0,0.92,0.008118176460266113
Bernoulli NB,0.0,0.93,0.01215202808380127
Bernoulli NB,0.0,0.94,0.009454941749572754
Bernoulli NB,0.0,0.95,0.009914422035217285
Bernoulli NB,0.0,0.96,0.008374595642089843
Bernoulli NB,0.0,0.97,0.008654928207397461
Bernoulli NB,0.0,0.98,0.008499670028686523
Bernoulli NB,0.0,0.99,0.009595441818237304
Bernoulli NB,0.0,1.0,0.008375787734985351
