Classifier,Score,upper bound ngrams,Execution Time
Multinomial NB,0.7355755633971632,1,0.0077877044677734375
Multinomial NB,0.7434877403036404,2,0.002795910835266113
Multinomial NB,0.7417372244240379,3,0.006399869918823242
Multinomial NB,0.7419487764461676,4,0.005503416061401367
Multinomial NB,0.7423037140936058,5,0.006403827667236328
Multinomial NB,0.7422367329687825,6,0.006099915504455567
Multinomial NB,0.7414838253687026,7,0.005299997329711914
Multinomial NB,0.7421069131925477,8,0.0015553474426269532
Multinomial NB,0.7427282854214369,9,0.005799698829650879
Multinomial NB,0.741934775593854,10,0.006299638748168945
